,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions
664,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-05-08,16369,57462,    2259,   -6821,141842,    1493,-41093
665,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-05-01,14110,64283,    1441,   -4289,140349,    2713,-50173
666,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-04-24,12669,68572,   -4248,   -6148,137636,   -6532,-55903
667,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-04-17,16917,74720,     820,   -7461,144168,   -6707,-57803
668,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-04-10,16097,82181,    1534,    2510,150875,     493,-66084
669,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-04-03,14563,79671,    3658,    1144,150382,    4885,-65108
670,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-03-27,10905,78527,  -24018,   17783,145497,    5728,-67622
671,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-03-20,34923,60744,   12674,   -3885,139769,  -56627,-25821
672,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-03-13,22249,64629,  -11032,   11990,196396,   48444,-42380
673,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-03-06,33281,52639,  -18277,    -122,147952,    -358,-19358
674,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-02-28,51558,52761,  -10504,    7956,148310,   -2241,-1203
675,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-02-21,62062,44805,   -2034,   10168,150551,   -3132,17257
676,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-02-14,64096,34637,  -20751,    4961,153683,  -24829,29459
677,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-02-07,84847,29676,    3793,    5291,178512,    5545,55171
678,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-01-31,81054,24385,   14860,    2558,172967,   20906,56669
679,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-01-24,66194,21827,  -12161,    2334,152061,  -16009,44367
680,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-01-17,78355,19493,    1684,    2479,168070,    4537,58862
681,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-01-10,76671,17014,    3685,     509,163533,    4814,59657
682,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2012-01-03,72986,16505,   20295,  -13601,158719,   26162,56481
683,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-12-27,52691,30106,     543,    2434,132557,     551,22585
684,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-12-20,52148,27672,    -101,   11023,132006,  -72812,24476
685,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-12-13,52249,16649,   -4568,   -1897,204818,   26193,35600
686,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-12-06,56817,18546,     655,    2931,178625,   12346,38271
687,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-11-29,56162,15615,    -856,    1777,166279,   16708,40547
688,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-11-22,57018,13838,    7102,   -2398,149571,    7338,43180
689,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-11-15,49916,16236,    5596,      -7,142233,    3252,33680
690,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-11-08,44320,16243,     649,   -1524,138981,     936,28077
691,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-11-01,43671,17767,  -32328,   -3953,138045,  -27571,25904
692,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-10-25,75999,21720,   26952,    -420,165616,   13361,54279
693,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-10-18,49047,22140,   -5143,    3069,152255,   -1594,26907
694,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-10-11,54190,19071,   -6677,    1666,153849,   19125,35119
695,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-10-04,60867,17405,    -299,   -1439,134724,    8992,43462
696,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-09-27,61166,18844,   -2722,     573,125732,   -2096,42322
697,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-09-20,63888,18271,   10110,    -552,127828,  -23707,45617
698,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-09-13,53778,18823,    5653,    3485,151535,   28123,34955
699,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-09-06,48125,15338,   -6011,    2387,123412,   -2716,32787
700,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-08-30,54136,12951,   -6695,    -741,126128,   -5089,41185
701,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-08-23,60831,13692,    1771,    1980,131217,    4955,47139
702,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-08-16,59060,11712,    5674,     475,126262,    6358,47348
703,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-08-09,53386,11237,  -25469,   -8785,119904,  -28984,42149
704,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-08-02,78855,20022,    6741,    -790,148888,    9956,58833
705,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-07-26,72114,20812,    8579,    -568,138932,    9279,51302
706,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-07-19,63535,21380,   11258,   -2609,129653,   13807,42155
707,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-07-12,52277,23989,   17682,    3721,115846,   20945,28288
708,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-07-05,34595,20268,     276,    -428,94901,     615,14327
709,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-06-28,34319,20696,  -12755,    6216,94286,   -4785,13623
710,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-06-21,47074,14480,    8456,     630,99071,    4588,32594
711,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-06-14,38618,13850,    2735,   -4402,94483,  -11716,24768
712,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-06-07,35883,18252,   11697,   -7582,106199,   10270,17631
713,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-05-31,24186,25834,   -8002,    1652,95929,   -3335,-1648
714,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-05-24,32188,24182,   -5828,    1539,99264,   -4189,8006
715,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-05-17,38016,22643,    1916,    -403,103453,    1164,15373
716,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-05-10,36100,23046,   16321,  -15552,102289,   -2301,13054
717,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-05-03,19779,38598,    5716,  -12462,104590,   -9544,-18819
718,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-04-26,14063,51060,    1128,  -14858,114134,  -13704,-36997
719,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-04-19,12935,65918,   -1248,   -1142,127838,   -2246,-52983
720,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-04-12,14183,67060,   -2333,    7313,130084,    9452,-52877
721,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-04-05,16516,59747,  -21221,   29062,120632,   20255,-43231
722,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-03-29,37737,30685,  -14747,   12726,100377,  -11674,7052
723,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-03-22,52484,17959,    -119,   -4414,112051,   -2650,34525
724,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-03-15,52603,22373,    9398,   -4176,114701,  -16546,30230
725,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-03-08,43205,26549,  -19191,    5427,131247,   -5314,16656
726,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-03-01,62396,21122,   38939,  -30081,136561,   12545,41274
727,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-02-22,23457,51203,    -932,    8266,124016,    7213,-27746
728,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-02-15,24389,42937,  -32218,   23061,116803,    -902,-18548
729,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-02-08,56607,19876,    3959,   -1291,117705,    1321,36731
730,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-02-01,52648,21167,   -1847,   -1110,116384,    -277,31481
731,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-01-25,54495,22277,    8237,   -3452,116661,    6256,32218
732,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-01-18,46258,25729,    2374,    6581,110405,    3273,20529
733,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-01-11,43884,19148,  -22040,   -7711,107132,  -21351,24736
734,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-01-04,65924,26859,   15983,    6559,128483,   19140,39065
735,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-12-28,49941,20300,   15698,   -1414,109343,   19271,29641
736,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-12-21,34243,21714,    -753,    -547,90072,   -6038,12529
737,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-12-14,34996,22261,  -12665,   -2112,96110,  -36123,12735
738,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-12-07,47661,24373,   -8130,   -1412,132233,    -836,23288
739,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-11-30,55791,25785,    4630,    1816,133069,    3449,30006
740,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-11-23,51161,23969,    3566,    -768,129620,   -2081,27192
741,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-11-16,47595,24737,   -6661,    7135,131701,   -8814,22858
742,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-11-09,54256,17602,   -8805,     996,140515,     453,36654
743,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-11-02,63061,16606,    1756,   -1570,140062,     212,46455
744,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-10-26,61305,18176,   -1249,    1478,139850,     354,43129
745,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-10-19,62554,16698,   -3909,   -1480,139496,   -7085,45856
746,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-10-12,66463,18178,    -403,     518,146581,    4093,48285
747,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-10-05,66866,17660,   21730,    1190,142488,   24214,49206
748,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-09-28,45136,16470,    5188,    -378,118274,    4925,28666
749,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-09-21,39948,16848,  -21267,    3275,113349,  -21011,23100
750,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-09-14,61215,13573,   -4225,     316,134360,  -16153,47642
751,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-09-07,65440,13257,    4221,    1942,150513,   11434,52183
752,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-08-31,61219,11315,   -1867,    -702,139079,   -1049,49904
753,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-08-24,63086,12017,     341,    -759,140128,    2483,51069
754,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-08-17,62745,12776,   -2569,     -60,137645,     646,49969
755,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-08-10,65314,12836,    3591,    -889,136999,    3129,52478
756,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-08-03,61723,13725,   13235,   -4842,133870,    9275,47998
757,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-07-27,48488,18567,   -6245,    4745,124595,   -3063,29921
758,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-07-20,54733,13822,   -8472,   -2024,127658,   -6007,40911
759,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-07-13,63205,15846,     729,   -8704,133665,   -1463,47359
760,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-07-06,62476,24550,   10755,     256,135128,   14644,37926
761,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-06-29,51721,24294,   22464,   -1333,120484,   29069,27427
762,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-06-22,29257,25627,    5953,   -1357,91415,    9198,3630
763,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-06-15,23304,26984,   -5215,  -14082,82217,  -50793,-3680
764,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-06-08,28519,41066,   -4696,    1367,133010,    -355,-12547
765,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-06-01,33215,39699,    1221,   -2533,133365,   -7404,-6484
766,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-05-25,31994,42232,   10601,  -13450,140769,   -1930,-10238
767,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-05-18,21393,55682,   -1872,   -2252,142699,   -3690,-34289
768,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-05-11,23265,57934,   10835,  -20108,146389,    -854,-34669
769,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-05-04,12430,78042,   -2588,   13247,147243,    9463,-65612
770,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-04-27,15018,64795,     807,     246,137780,    3456,-49777
771,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-04-20,14211,64549,    1638,   -3770,134324,    2601,-50338
772,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-04-13,12573,68319,   -6023,    7418,131723,    7886,-55746
773,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-04-06,18596,60901,    1422,   12861,123837,   14420,-42305
774,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-03-30,17174,48040,  -23856,   17171,109417,   12504,-30866
775,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-03-23,41030,30869,    -248,    4788,96913,     914,10161
776,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-03-16,41278,26081,  -10641,     450,95999,  -41444,15197
777,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-03-09,51919,25631,   -5413,     851,137443,    3843,26288
778,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-03-02,57332,24780,   26900,   -3935,133600,   10681,32552
779,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-02-23,30432,28715,   -5259,    6936,122919,    3103,1717
780,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-02-16,35691,21779,   -5661,    2823,119816,    -244,13912
781,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-02-09,41352,18956,   11175,   -4086,120060,    3931,22396
782,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-02-02,30177,23042,    1356,  -10126,116129,   -3690,7135
783,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-01-26,28821,33168,    5103,   -7646,119819,   -2548,-4347
784,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-01-19,23718,40814,    1767,    2119,122367,    1799,-17096
785,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-01-12,21951,38695,    1317,    1250,120568,   16337,-16744
786,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-01-05,20634,37445,     691,    2599,104231,    9014,-16811
787,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-12-29,19943,34846,   -9534,    4358,95217,    1993,-14903
788,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-12-22,29477,30488,   -4333,    5050,93224,    4786,-1011
789,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-12-15,33810,25438,  -14944,   11866,88438,  -35063,8372
790,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-12-08,48754,13572,  -25039,   -3314,123501,  -20622,35182
791,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-12-01,73793,16886,    8569,    3372,144123,   12290,56907
792,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-11-24,65224,13514,   16474,     316,131833,    5925,51710
793,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-11-17,48750,13198,    6706,   -6968,125908,    8564,35552
794,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-11-09,42044,20166,    3016,     970,117344,    7312,21878
795,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-11-03,39028,19196,    2952,     650,110032,   -5129,19832
796,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-10-27,36076,18546,  -13325,     330,115161,   -5469,17530
797,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-10-20,49401,18216,    -416,    1738,120630,    1578,31185
798,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-10-13,49817,16478,  -12310,   -1006,119052,   -1288,33339
799,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-10-06,62127,17484,   -1322,   -1109,120340,    1064,44643
800,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-09-29,63449,18593,     180,     939,119276,    -149,44856
801,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-09-22,63269,17654,    9225,     717,119425,   11095,45615
802,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-09-15,54044,16937,   -2681,    1011,108330,   -6919,37107
803,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-09-08,56725,15926,    4684,   -3750,115249,    7644,40799
804,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-09-01,52041,19676,   17986,   -2732,107605,   21105,32365
805,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-08-25,34055,22408,    8934,    -360,86500,   13858,11647
806,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-08-18,25121,22768,    1102,    -427,72642,    1988,2353
807,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-08-11,24019,23195,   -4250,    5541,70654,   -9447,824
808,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-08-04,28269,17654,   -9065,    4622,80101,  -10548,10615
809,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-07-28,37334,13032,  -15639,   -3753,90649,  -19961,24302
810,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-07-21,52973,16785,     333,   -2288,110610,     470,36188
811,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-07-14,52640,19073,   15972,    -478,110140,   20184,33567
812,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-07-07,36668,19551,   13407,   -4757,89956,   16480,17117
813,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-06-30,23261,24308,    1075,   -1885,73476,    -321,-1047
814,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-06-23,22186,26193,    3899,    -657,73797,   10799,-4007
815,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-06-16,18287,26850,   -6935,    -671,62998,  -30529,-8563
816,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-06-09,25222,27521,   -8855,    3065,93527,   -3442,-2299
817,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-06-02,34077,24456,    -783,   -2395,96969,     263,9621
818,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-05-26,34860,26851,    5334,    3325,96706,    6502,8009
819,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-05-19,29526,23526,    1013,   -2599,90204,    4495,6000
820,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-05-12,28513,26125,    6925,   -1981,85709,   10114,2388
821,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-05-05,21588,28106,    -574,    1365,75595,    -139,-6518
822,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-04-28,22162,26741,    3819,   -5297,75734,    1519,-4579
823,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-04-21,18343,32038,   -2826,    4774,74215,   -7802,-13695
824,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-04-14,21169,27264,   -4397,   -5300,82017,   -2121,-6095
825,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-04-07,25566,32564,   -1178,   -3643,84138,    7531,-6998
826,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-03-31,26744,36207,    1687,    3488,76607,    6684,-9463
827,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-03-24,25057,32719,   -2113,     853,69923,    -584,-7662
828,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-03-17,27170,31866,  -16156,    7446,70507,  -43513,-4696
829,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-03-10,43326,24420,   -3292,   -2128,114020,    3797,18906
830,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-03-03,46618,26548,    -644,    7921,110223,    1518,20070
831,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-02-24,47262,18627,   -7391,     162,108705,      20,28635
832,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-02-17,54653,18465,   -2217,    5192,108685,    1934,36188
833,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-02-10,56870,13273,   -8261,   -1340,106751,  -10318,43597
834,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-02-03,65131,14613,    1762,     251,117069,    2006,50518
835,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-01-27,63369,14362,     840,   -1077,115063,    1892,49007
836,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-01-20,62529,15439,    2049,    -146,113171,    5457,47090
837,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-01-13,60480,15585,   -2135,    -636,107714,   -2446,44895
838,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2009-01-06,62615,16221,    4822,    2304,110160,    4234,46394
839,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-12-30,57793,13917,    1459,   -2319,105926,     587,43876
840,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-12-22,56334,16236,   -3651,   -2368,105339,   -5133,40098
841,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-12-16,59985,18604,   -2993,   -1115,110472,  -55587,41381
842,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-12-09,62978,19719,   -4765,   -5121,166059,   27065,43259
843,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-12-02,67743,24840,    5677,     -60,138994,    7788,42903
844,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-11-25,62066,24900,   15239,    2207,131206,    1512,37166
845,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-11-18,46827,22693,     474,     851,129694,    -408,24134
846,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-11-11,46353,21842,    -419,    1564,130102,     602,24511
847,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-11-04,46772,20278,   -4443,     889,129500,  -13520,26494
848,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-10-28,51215,19389,    -226,   -1931,143020,    4252,31826
849,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-10-21,51441,21320,    -268,    -485,138768,    5785,30121
850,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-10-14,51709,21805,   -9848,      61,132983,  -25020,29904
851,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-10-07,61557,21744,   -7816,   -4607,158003,   -1905,39813
852,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-09-30,69373,26351,   18187,    7104,159908,   18231,43022
853,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-09-23,51186,19247,     561,   -4778,141677,    9544,31939
854,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-09-16,50625,24025,   11327,    -452,132133,  -74783,26600
855,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-09-09,39298,24477,     893,  -18948,206916,    1103,14821
856,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-09-02,38405,43425,   -1698,  -16648,205813,   -3325,-5020
857,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-08-26,40103,60073,    -830,   -3998,209138,   -3844,-19970
858,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-08-19,40933,64071,   -5231,    4658,212982,    4360,-23138
859,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-08-12,46164,59413,     266,    1434,208622,    7804,-13249
860,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2008-08-05,45898,57979,    6736,   12537,200818,   21859,-12081
